value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.005347387865185738,0.10817220062017441,0.20302358269691467,-0.02617032825946808,1.962956190109253,-0.0700768232345581,0.08217088133096695,-0.16376397013664246,0.6665175557136536,0.2008499950170517,0
0.20861704647541046,-28.842309951782227,-0.6865644454956055,-37.412689208984375,1.8295538425445557,-29.440399169921875,0.008721575140953064,-37.99103927612305,70.89804077148438,0.03261421248316765,10000
0.2676931619644165,-29.97723388671875,2.2277462482452393,-47.09330368041992,1.9057165384292603,-30.74335479736328,1.2951160669326782,-47.024253845214844,37.05413818359375,0.030880963429808617,20000
0.33297979831695557,-31.047988891601562,-0.27963560819625854,-46.3489875793457,2.0638036727905273,-31.27871322631836,-0.08271196484565735,-47.22440719604492,71.50304412841797,0.022784052416682243,30000
0.3432145118713379,-30.216150283813477,0.9987866282463074,-46.359375,1.835971474647522,-30.71005630493164,0.3772869110107422,-46.65321350097656,40.52338409423828,0.02453489787876606,40000
0.7944579124450684,-31.082040786743164,0.7596951127052307,-47.28498840332031,1.169085144996643,-31.702709197998047,0.45052504539489746,-47.867801666259766,39.8038444519043,0.022688357159495354,50000
0.32824409008026123,-32.65430450439453,0.5117480754852295,-47.58137512207031,1.2103245258331299,-32.73003387451172,0.219972625374794,-47.29306411743164,98.635498046875,0.03228392079472542,60000
0.49351218342781067,-31.585763931274414,1.0070581436157227,-47.6860466003418,1.9601109027862549,-32.034507751464844,0.3685816824436188,-47.898040771484375,67.89603424072266,0.031104356050491333,70000
0.277565598487854,-31.708919525146484,0.5865358710289001,-47.99821090698242,1.3188073635101318,-32.358943939208984,0.2892095446586609,-48.60007095336914,26.12909698486328,0.039156924933195114,80000
0.6287591457366943,-33.01640319824219,0.40604013204574585,-48.14301300048828,1.0165083408355713,-33.91211700439453,0.18057754635810852,-48.560760498046875,30.771427154541016,0.035136543214321136,90000
0.5737149715423584,-32.530364990234375,0.5284601449966431,-47.977569580078125,1.1531059741973877,-33.43699645996094,0.4226681590080261,-48.71481704711914,25.865345001220703,0.03651834651827812,100000
0.62449711561203,-32.97096252441406,0.3854515552520752,-47.71038055419922,2.1559417247772217,-33.600067138671875,0.03792896866798401,-47.69943618774414,102.42739868164062,0.037256333976984024,110000
0.574638307094574,-32.82476806640625,0.10264136642217636,-47.988243103027344,1.7481608390808105,-33.56034851074219,0.2399265468120575,-48.177547454833984,28.89130210876465,0.03667978569865227,120000
0.538927435874939,-33.57147216796875,0.1376732587814331,-48.346492767333984,0.7329028248786926,-34.15654754638672,0.14145705103874207,-48.46608352661133,46.52244186401367,0.028992488980293274,130000
0.6953874230384827,-32.68623352050781,0.17257970571517944,-48.07498550415039,0.9373037815093994,-33.54240417480469,0.20180286467075348,-48.516876220703125,19.33538818359375,0.03079720214009285,140000
0.797116756439209,-33.390533447265625,0.19991180300712585,-48.02871322631836,0.9986063241958618,-34.34336853027344,0.011655300855636597,-48.714473724365234,15.217973709106445,0.03159692883491516,150000
0.6961331367492676,-33.48360061645508,0.1964118778705597,-48.58647918701172,1.2950787544250488,-34.001548767089844,0.026360705494880676,-48.56158447265625,37.12679672241211,0.033712174743413925,160000
0.5661488771438599,-31.7987003326416,0.3065057694911957,-48.089447021484375,2.1953983306884766,-32.31474304199219,0.2755837142467499,-48.3671989440918,76.4542236328125,0.028301972895860672,170000
0.703651487827301,-32.134559631347656,0.9410795569419861,-48.118526458740234,1.1547167301177979,-32.92823028564453,0.24501444399356842,-48.4190673828125,42.07552719116211,0.024549592286348343,180000
0.557174801826477,-34.027015686035156,0.3530504107475281,-48.4459114074707,1.1861599683761597,-34.649139404296875,0.23675914108753204,-48.662410736083984,21.368423461914062,0.0324401929974556,190000
1.4524123668670654,-33.445030212402344,0.25625723600387573,-48.47111892700195,2.8666720390319824,-34.36804962158203,0.06270165741443634,-49.37774658203125,18.802490234375,0.029795562848448753,200000
0.6733725070953369,-33.4035758972168,0.1986624300479889,-48.1658935546875,2.4186959266662598,-34.27141571044922,0.19745242595672607,-48.907379150390625,27.252090454101562,0.027049576863646507,210000
0.7892124056816101,-33.3641471862793,-0.3173009753227234,-48.05537033081055,1.6592639684677124,-34.210044860839844,-0.011395707726478577,-48.25077438354492,25.809417724609375,0.026987111195921898,220000
0.5652283430099487,-33.86394500732422,0.12135434150695801,-48.036598205566406,2.728045701980591,-34.29246520996094,0.2505512833595276,-48.60258483886719,61.28619384765625,0.033519577234983444,230000
0.5881662368774414,-32.992271423339844,0.7014856338500977,-48.95698165893555,1.1934741735458374,-33.97792053222656,0.3749176263809204,-49.27522277832031,23.466278076171875,0.03305284306406975,240000
0.41131851077079773,-34.177799224853516,0.26219749450683594,-48.9129524230957,1.2469758987426758,-34.639007568359375,0.23105984926223755,-48.98897933959961,43.43627166748047,0.024879030883312225,250000
0.34996432065963745,-33.30467987060547,0.2501714527606964,-48.810333251953125,0.764746904373169,-33.81890106201172,0.32423603534698486,-49.207889556884766,29.524551391601562,0.030075987800955772,260000
0.4410879909992218,-33.85083770751953,0.4867464303970337,-48.96344757080078,1.4401164054870605,-34.278656005859375,0.3516330420970917,-49.10923385620117,61.77857208251953,0.03152666613459587,270000
0.4568699598312378,-34.0429573059082,0.03034636378288269,-48.75985336303711,1.0834453105926514,-34.739444732666016,0.4075027108192444,-49.14651870727539,24.692874908447266,0.04084337502717972,280000
0.5365692377090454,-34.78572463989258,0.3306914269924164,-48.908565521240234,0.9813940525054932,-35.27245330810547,0.3166956305503845,-49.42234420776367,44.90736770629883,0.03516102582216263,290000
0.5832329988479614,-33.79890823364258,0.6701197028160095,-48.96503448486328,1.4945279359817505,-34.14601135253906,0.02344605326652527,-49.088714599609375,119.45577239990234,0.02346058003604412,300000
0.7304359674453735,-34.60345458984375,0.6281815767288208,-49.074859619140625,0.8238523602485657,-35.09556579589844,0.22007931768894196,-49.14768981933594,47.08861541748047,0.03120635822415352,310000
0.6570025682449341,-35.30877685546875,-0.07287043333053589,-49.175899505615234,1.3100104331970215,-36.098411560058594,-0.1681220382452011,-49.740726470947266,26.483306884765625,0.0273839570581913,320000
0.5289164781570435,-34.11006164550781,0.125261589884758,-49.45126724243164,0.9530321359634399,-34.510677337646484,0.35889074206352234,-49.5020637512207,51.103797912597656,0.03215281292796135,330000
0.5389405488967896,-34.78636932373047,0.1819854974746704,-49.31650161743164,1.162505865097046,-35.332916259765625,0.20303435623645782,-49.563575744628906,40.42902374267578,0.02858908288180828,340000
0.6201798915863037,-35.256370544433594,0.25171178579330444,-49.586517333984375,0.9714685678482056,-35.93421936035156,0.5221119523048401,-49.76665115356445,42.521724700927734,0.03268974646925926,350000
0.3533713221549988,-34.00712585449219,0.23706437647342682,-48.95180130004883,1.3087553977966309,-34.51472473144531,0.25626999139785767,-49.65595626831055,45.45927047729492,0.02754228748381138,360000
0.33329856395721436,-35.31032180786133,0.18422532081604004,-49.55229949951172,1.1083062887191772,-35.942626953125,0.17012719810009003,-49.766944885253906,28.355987548828125,0.025155454874038696,370000
0.47091057896614075,-35.718936920166016,0.37107229232788086,-49.670284271240234,1.0129318237304688,-36.043601989746094,0.3388826847076416,-50.03440856933594,49.98585510253906,0.03975507244467735,380000
0.3388561010360718,-34.79289245605469,0.3507272005081177,-49.41567611694336,1.1037571430206299,-35.41980743408203,0.20306314527988434,-50.06187057495117,17.021533966064453,0.02924739196896553,390000
0.4978637397289276,-35.581050872802734,0.2984762191772461,-50.274993896484375,1.336012840270996,-36.167510986328125,0.2346397340297699,-50.3704948425293,26.204605102539062,0.027685893699526787,400000
0.7826840281486511,-35.23997497558594,0.1798664629459381,-49.83407211303711,2.4440956115722656,-35.740013122558594,0.530267059803009,-50.220211029052734,77.87002563476562,0.03149131312966347,410000
0.5873574018478394,-36.67204666137695,0.7520415186882019,-50.560569763183594,2.4382784366607666,-37.386688232421875,0.7339097857475281,-50.98305892944336,26.043243408203125,0.035696785897016525,420000
0.6984375715255737,-35.138607025146484,0.2787581980228424,-50.37352752685547,1.3648548126220703,-35.696998596191406,0.07828737795352936,-50.49580383300781,38.85356903076172,0.02706397883594036,430000
0.4688427448272705,-35.23859405517578,0.2980961203575134,-50.76497268676758,1.3241229057312012,-35.88971710205078,0.4473368525505066,-50.9733772277832,29.999229431152344,0.031107425689697266,440000
0.5918473601341248,-35.927391052246094,0.47768038511276245,-50.5831413269043,2.275496006011963,-36.37354278564453,0.33148929476737976,-50.82539367675781,30.781278610229492,0.033288922160863876,450000
0.7391946315765381,-37.603981018066406,0.11028901487588882,-50.5787467956543,3.6366987228393555,-38.28700256347656,0.15623009204864502,-51.04525375366211,27.777233123779297,0.035291239619255066,460000
0.6476202011108398,-37.24653244018555,0.18101680278778076,-50.800716400146484,1.8209328651428223,-37.99334716796875,0.13218189775943756,-51.32843017578125,35.05586242675781,0.03615874797105789,470000
0.5937443971633911,-35.62067413330078,0.12514212727546692,-50.98598098754883,1.548007607460022,-36.187965393066406,0.27721691131591797,-51.3286018371582,33.147945404052734,0.025209559127688408,480000
0.48785167932510376,-36.93645477294922,0.1547219455242157,-50.73645782470703,1.571486234664917,-37.458778381347656,0.16189946234226227,-51.53806686401367,26.37059783935547,0.031046688556671143,490000
0.4517126977443695,-37.27189636230469,0.22146424651145935,-52.18684005737305,1.7036011219024658,-37.635108947753906,0.1829734742641449,-51.53567886352539,49.46615219116211,0.02889305166900158,500000
0.6520256400108337,-37.200950622558594,0.6636866331100464,-51.055809020996094,1.63120698928833,-38.03467559814453,0.2517085671424866,-51.88716506958008,27.773527145385742,0.02409340813755989,510000
0.9148197174072266,-35.99782943725586,0.6075253486633301,-50.69353485107422,3.283663272857666,-36.747779846191406,0.5820941925048828,-51.140037536621094,52.99981689453125,0.028153836727142334,520000
0.7125428915023804,-37.586402893066406,0.21645008027553558,-51.153724670410156,1.1188302040100098,-38.462669372558594,0.5422744154930115,-51.76298141479492,27.629810333251953,0.025916296988725662,530000
0.4445342719554901,-37.194976806640625,0.2471877932548523,-51.867698669433594,1.4797879457473755,-37.798301696777344,0.280988872051239,-52.575279235839844,32.00920867919922,0.027119172737002373,540000
0.6854245662689209,-37.52915954589844,0.28958645462989807,-51.491981506347656,2.572115898132324,-38.2950553894043,0.3220682740211487,-51.91328048706055,31.217981338500977,0.02899795211851597,550000
0.3677224814891815,-37.78179168701172,0.09146270155906677,-51.52008056640625,1.6271636486053467,-38.239776611328125,0.03780414164066315,-52.18581008911133,41.633399963378906,0.029146676883101463,560000
0.590589165687561,-38.491676330566406,0.04741071164608002,-51.6124267578125,1.5726360082626343,-39.14214324951172,0.1903344690799713,-52.228023529052734,26.565799713134766,0.0313684307038784,570000
0.3312017321586609,-37.62162399291992,0.21731728315353394,-52.20746612548828,2.1034531593322754,-38.16487121582031,-0.07192641496658325,-52.37450408935547,35.65550231933594,0.03612570837140083,580000
0.4195205569267273,-37.2763671875,0.11863351613283157,-52.2068977355957,1.664543628692627,-37.56548309326172,0.33005449175834656,-52.57219696044922,42.03675842285156,0.03007631003856659,590000
0.5852550268173218,-38.443031311035156,0.02161312848329544,-52.698974609375,2.5229604244232178,-39.04864501953125,0.1672399640083313,-53.16695785522461,31.713581085205078,0.02434241771697998,600000
0.5369049906730652,-37.37194061279297,0.523481547832489,-52.22157287597656,2.6403238773345947,-37.87420654296875,0.23911529779434204,-52.041568756103516,47.98828125,0.03001299872994423,610000
0.6747211217880249,-38.982940673828125,0.29960209131240845,-53.14303207397461,1.7688689231872559,-39.7738037109375,0.1024584099650383,-53.257347106933594,27.300830841064453,0.03484375402331352,620000
0.6064461469650269,-38.489017486572266,0.25420936942100525,-52.1873893737793,2.1473190784454346,-38.96844482421875,0.17470847070217133,-53.00554656982422,31.223093032836914,0.02132382057607174,630000
0.44244247674942017,-39.34370422363281,0.0804983600974083,-53.3692512512207,1.2354655265808105,-39.82102966308594,0.12074103951454163,-53.13783264160156,23.969017028808594,0.028370458632707596,640000
0.6928441524505615,-38.569068908691406,0.46269387006759644,-52.99039840698242,1.227886438369751,-39.1806640625,0.14337876439094543,-53.5371208190918,34.986045837402344,0.03799709305167198,650000
0.5924631357192993,-39.44061279296875,0.39588209986686707,-53.46065139770508,1.805063247680664,-40.06982421875,0.1894994080066681,-53.610504150390625,31.76630401611328,0.030247334390878677,660000
