critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.995521068572998,0.004546919837594032,0.17761336266994476,-0.10313925892114639,1.5194247961044312,1.77910315990448,1.5503017902374268,0.22880136966705322,0.4912949204444885,0
0.6504991054534912,-36.954803466796875,-0.5356340408325195,-40.32115173339844,0.5413374900817871,36.90134811401367,0.17087484896183014,36.730472564697266,0.2642940580844879,10000
0.6015115976333618,-48.28218078613281,0.2336551547050476,-63.6096076965332,0.4769707918167114,48.07075881958008,0.2277197241783142,47.843040466308594,0.2471342384815216,20000
0.4281430244445801,-53.13269805908203,0.06662340462207794,-75.29119873046875,0.4697304964065552,53.1631965637207,0.20603397488594055,52.95716094970703,0.20523494482040405,30000
0.4204811751842499,-59.7108154296875,0.013825595378875732,-81.05093383789062,0.41594943404197693,59.75019454956055,0.20470842719078064,59.54548645019531,0.21408191323280334,40000
0.5313712358474731,-66.13934326171875,-0.1368047147989273,-83.60443115234375,0.46615564823150635,65.94881439208984,0.19726139307022095,65.75155639648438,0.2115742266178131,50000
0.6056778430938721,-65.84468078613281,0.035384610295295715,-88.11457824707031,0.4371916651725769,65.6709976196289,0.20294733345508575,65.46804809570312,0.22640910744667053,60000
0.5577596426010132,-64.74016571044922,0.014010727405548096,-89.69081115722656,0.4766305088996887,64.69478607177734,0.23755469918251038,64.45722961425781,0.22051984071731567,70000
0.6883461475372314,-64.66698455810547,0.12637627124786377,-90.81063842773438,0.40259602665901184,64.68914031982422,0.1701613813638687,64.51898193359375,0.17580807209014893,80000
0.5180675387382507,-68.42371368408203,-0.320081889629364,-92.60502624511719,0.4214218556880951,68.21155548095703,0.21207761764526367,67.99948120117188,0.21053466200828552,90000
0.4844021797180176,-67.70088958740234,0.03753620386123657,-93.84393310546875,0.4563506245613098,67.57238006591797,0.23851680755615234,67.3338623046875,0.19934023916721344,100000
0.42111778259277344,-66.77413177490234,-0.19385850429534912,-95.04051971435547,0.4308776259422302,66.69607543945312,0.21386875212192535,66.48220825195312,0.19232115149497986,110000
0.7055968046188354,-68.33842468261719,-5.251490116119385,-96.0678939819336,0.4489505887031555,68.09832763671875,0.22901701927185059,67.86930847167969,0.2130940705537796,120000
0.40132638812065125,-67.77687072753906,-0.1982339471578598,-96.55104064941406,0.40292733907699585,67.66629791259766,0.19962456822395325,67.4666748046875,0.17898273468017578,130000
0.3585852384567261,-67.93486022949219,-0.14794921875,-97.75346374511719,0.4326838254928589,67.8504867553711,0.22349108755588531,67.62699890136719,0.2037113457918167,140000
0.46387988328933716,-69.60380554199219,-0.22008588910102844,-98.3319320678711,0.42725610733032227,69.50350189208984,0.2035321295261383,69.29997253417969,0.19329430162906647,150000
0.4543434679508209,-69.52406311035156,-0.1969006359577179,-98.9070816040039,0.4342437982559204,69.39208984375,0.20527243614196777,69.18682098388672,0.20771244168281555,160000
0.4832499623298645,-68.52151489257812,0.21063858270645142,-98.2492446899414,0.4066452085971832,68.3525161743164,0.20912624895572662,68.14338684082031,0.18508478999137878,170000
0.35957610607147217,-69.09176635742188,-0.3015134930610657,-98.88119506835938,0.3777327537536621,68.92838287353516,0.23217374086380005,68.69621276855469,0.2080250382423401,180000
0.485465407371521,-69.0645751953125,-0.5975714921951294,-99.42119598388672,0.37065228819847107,68.98085021972656,0.20048631727695465,68.78036499023438,0.17384007573127747,190000
0.4646148681640625,-68.43521118164062,0.3352609872817993,-99.5289306640625,0.41427379846572876,68.37252807617188,0.1910993456840515,68.18142700195312,0.17150136828422546,200000
0.5379001498222351,-70.83253479003906,0.15059101581573486,-100.44319915771484,0.3965601325035095,70.71397399902344,0.20265385508537292,70.51132202148438,0.17910635471343994,210000
0.622730016708374,-69.06523132324219,-0.17306652665138245,-101.34666442871094,0.4072589874267578,68.80722045898438,0.1902793049812317,68.616943359375,0.18208815157413483,220000
0.5047610998153687,-68.31759643554688,-7.21339225769043,-101.65245819091797,0.3949005603790283,68.15631866455078,0.19317346811294556,67.96314239501953,0.17366774380207062,230000
