critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9972057342529297,-0.09841199219226837,0.1121506467461586,-0.2801545262336731,-2.52055287361145,0.3394865095615387,2.2551474571228027,-5.11518669128418,0.7517157793045044,9.206116676330566,0.9997000694274902,0
0.1042758971452713,-5.993906497955322,-1.5072592496871948,-6.368938446044922,4.185638427734375,6.035816192626953,2.0810770988464355,-3.9312543869018555,0.6936923265457153,6.898894309997559,0.7548953294754028,1000
0.13324129581451416,-10.603902816772461,-0.2811652421951294,-11.145931243896484,9.454230308532715,10.517007827758789,1.8663575649261475,-2.929135322570801,0.6221191883087158,5.275662899017334,0.5861828923225403,2000
0.10502889007329941,-14.83940315246582,-0.10208341479301453,-15.448183059692383,14.339384078979492,14.770519256591797,1.6590560674667358,-2.090191125869751,0.5530186891555786,4.032938480377197,0.46302875876426697,3000
0.11903766542673111,-18.37738037109375,-1.1629328727722168,-19.546419143676758,18.250900268554688,18.3226261138916,1.5583219528198242,-1.6300461292266846,0.5194405913352966,3.1176040172576904,0.3696638345718384,4000
0.19742323458194733,-22.22894859313965,-0.31329041719436646,-23.471515655517578,22.414602279663086,22.168392181396484,1.44649338722229,-1.2002830505371094,0.4821644425392151,2.3982222080230713,0.29731374979019165,5000
0.1350247859954834,-25.624950408935547,-0.6134323477745056,-27.164306640625,25.865278244018555,25.51364517211914,1.225717544555664,-0.8740845322608948,0.4085724949836731,1.8119748830795288,0.2404232621192932,6000
0.18850594758987427,-28.71890640258789,-0.28743860125541687,-30.807628631591797,29.35151481628418,28.716270446777344,1.1861636638641357,-0.5509188175201416,0.3953878879547119,1.3057341575622559,0.1953636109828949,7000
0.19059094786643982,-32.220924377441406,-0.46139630675315857,-34.08386993408203,32.70097351074219,32.048973083496094,1.034139633178711,-0.3821404278278351,0.3447132110595703,1.0130146741867065,0.15942244231700897,8000
0.17842409014701843,-34.397117614746094,-0.653968095779419,-37.283782958984375,35.01182174682617,34.2813835144043,0.9729899168014526,-0.2425510734319687,0.3243299722671509,0.7607651352882385,0.1306675523519516,9000
0.3016456365585327,-37.67289352416992,-0.2417016625404358,-40.41209411621094,38.309173583984375,37.567771911621094,0.8518788814544678,-0.11047599464654922,0.28395962715148926,0.5705415606498718,0.1074964851140976,10000
0.31507396697998047,-39.38397979736328,-0.6081210970878601,-43.276397705078125,39.93098449707031,39.22495651245117,0.7354208827018738,-0.02939186617732048,0.24514029920101166,0.3952142298221588,0.08890382200479507,11000
0.35372769832611084,-40.39088439941406,-0.3963465690612793,-46.06243896484375,40.93760299682617,40.194557189941406,0.7383854389190674,0.0046600233763456345,0.24612846970558167,0.30126264691352844,0.0739450603723526,12000
0.20560815930366516,-42.604820251464844,0.0919966772198677,-48.64896774291992,43.140689849853516,42.42857360839844,0.665338933467865,0.04677451029419899,0.22177964448928833,0.19005069136619568,0.061880338937044144,13000
0.2440175563097,-45.795677185058594,-0.11848956346511841,-51.14216232299805,46.361839294433594,45.63530731201172,0.6568648219108582,0.06966760754585266,0.218954935669899,0.13569685816764832,0.05218018218874931,14000
